kata,makna
cammar,kotor
unjai,kucing
kuyuk,anjing
sulipi,bantal
carammin,cermin
sugai,sisir
taddung,ular
talla,sudah
kaparais,semua
pali,bodoh
walla,gila
gaiyu,sibuk
umbaring,terasi
gattam,kepiting
nannak,pusing
karappi,dompet
kinsum,senyum
dudi,"paling belakang"
dullu,"paling depan"
sambat,pagi
karamian,sore
kalamayi,kemaren
bekaya,sangat
sarubit,sedikit
annik,sedikit
kumpau,angkuh
kussaw,sibuk
kammi,"buang air kecil"
dapay,bisa
dangkita,kalian
bisia,mereka
lalay,piring
sugai,sisir
siyin,uang
tittik,pukul
kaluppan,lupa
sanggam,bagus
puri,mantap
abisia,mereka
aliapa,kenapa
baniapa,bagaimana
pabila,kapan
rammis,kotoran
timpak,tumpah
kadayaw,biawak
karra,monyet
rangngat,sakit
paggat,putus
ntayi,tadi
battis,kaki
tapuk,sembunyi
landas,nyaring
rangngit,nyamuk
karajja,kerja
bala,nakal
anu,yang
culu,"korek api"
inda,ibu
amma,ayah
sannai,santai
sattrat,jalanan
busak,bunga
mallur,melati
ulai,perempuan
agai,laki-laki
sallu,jengkel
pandak,pendek
paluntai,pemalas
marrang,senang
pattang,gelap
jampayi,besok
andang,memang
damitu,begitu
damini,begini
attu,itu
au,iya
binggan,berhenti
bai,babi
karitan,hiu
sulai,ganti
surung,dorong
sudu,sendok
sekarang,sebentar
rajjan,tangga
riau,teriak
pingngut,cubit
tumpis,"banyak omong"
picca,pecah
balla,belah
pijammil,dingin
gassang,panas
bulla,bohong
miang,gatal
lusung,pulang
lanting,toilet
lanji,centil
langngis,habis
langnga,"minyak makan"
lakanak,anak-anak
carik,sobek
kumpa,paha
jampayi,besok
irau,ribut
gawai,kerja
gabbar,selimut
Yattu,yaitu
tambing,pinggir
talungkayang,lidi
ratti,arti
ruru,runtuh
rimaung,harimau
payau,rusa
marrang,gembira
linang,jernih
lawai,benang
lindur,gempa
langau,lalat
lapau,pondok
lumpai,ikut
labu,jatuh
kullat,berjamur
jappang,jepang
guris,garis
gappang,peluk
cada,tidak
busung,kualat
butur,judi
bantat,bengkak
batta,betah
battis,kaki
limpang,baring
dudduk,duduk
ampik,sarung
assa,satu
dua,dua
tiga,tigs
ampat,ampat
lading,pisau
paddas,pedas
pamaddas,jahe
sulai,ganti
ngangngal,capek
